Producer Name,Yield,Square footage of facility:,Square footage of facility used for production:,avg kWh/day,avgkWh/ft,Square footage of flowering canopy:,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,DRYING EQUIPMENT | WATTS,DRYING EQUIPMENT | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,DEHUMIDIFICATION | NUMBER OF UNITS,HUMIDIFICATION | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,,,,,,,,,,,,,,,
Liontree Farms,,,,285,0.011875,800,None,None,None,,,None,,,0,None,None,None,,,None,,,None,,,,,None,None,None,,,None,,,,,,,,,,,,,,,
Liontree Farms,,,,285,0.011875,800,None,None,None,,,None,,,0,None,None,None,,,None,,,None,,,,,None,None,None,,,None,,,,,,,,,,,,,,,
Massive Seeds / Roganja,3,,,,,100,0,0,0,,,0,,,0,0,0,0,,,0,,,0,,,,,1,2,0,,,1,,,,,,,,,,,,,,,
Massive Seeds / Roganja,2,,,,,100,0,0,0,,,0,,,0,0,0,0,,,0,,,0,,,,,1,2,0,,,1,,,,,,,,,,,,,,,
Massive Seeds / Roganja,3,,,,,100,0,0,0,,,0,,,0,0,0,0,,,0,,,0,,,,,1,2,0,,,1,,,,,,,,,,,,,,,
Massive Seeds / Roganja,0.5,,,,,50,0,0,0,,,0,,,0,0,0,0,,,0,,,0,,,,,1,2,0,,,1,,,,,,,,,,,,,,,
One Family Farms,,,,56,0.00224,300,0,39,Supplemental lighting: 6 hours,,,0,,,1,0,0,0,,,0,,,0,,,,,0,3,0,,,0,,,,,,,,,,,,,,,
One Family Farms,30,,,56,0.00224,110,1,40,Supplemental lighting: 6 hours,,,1,,,2,0,0,0,,,0,,,0,,,,,0,3,0,,,0,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,5000,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,30,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
